Phishing Domain,Legit Domain,Levenshtein,Jaccard,Combined Score
77caib.com,rfihub.com,5,0.23076923076923078,-0.019230769230769218
77caib.com,gmail.com,4,0.15384615384615385,-0.046153846153846156
77caib.com,a2z.com,5,0.18181818181818182,-0.06818181818181818
77caib.com,rlcdn.com,5,0.15384615384615385,-0.09615384615384615
77caib.com,licdn.com,5,0.15384615384615385,-0.09615384615384615
tx0408.cn,tapad.com,7,0.0,-0.35
tx0408.cn,turn.com,7,0.0,-0.35
tx0408.cn,tiktok.com,7,0.0,-0.35
tx0408.cn,temu.com,7,0.0,-0.35
tx0408.cn,teads.tv,7,0.0,-0.35
s3.us-east-1.amazonaws.com,us-west-2.amazonaws.com,6,0.45161290322580644,0.15161290322580645
s3.us-east-1.amazonaws.com,iot.us-west-2.amazonaws.com,6,0.4411764705882353,0.1411764705882353
s3.us-east-1.amazonaws.com,elb.amazonaws.com,11,0.4444444444444444,-0.10555555555555562
s3.us-east-1.amazonaws.com,amazonaws.com,13,0.4583333333333333,-0.1916666666666667
www.flow.page,www.msn.com,8,0.1111111111111111,-0.2888888888888889
www.flow.page,www.bing.com,8,0.10526315789473684,-0.2947368421052632
www.flow.page,www.temu.com,8,0.10526315789473684,-0.2947368421052632
www.flow.page,www.apple.com,9,0.1,-0.35
www.flow.page,www.google.com,9,0.09523809523809523,-0.3547619047619048
eyeydhe.wixsite.com,edge.skype.com,10,0.11538461538461539,-0.3846153846153846
eyeydhe.wixsite.com,delve.office.com,10,0.10714285714285714,-0.39285714285714285
eyeydhe.wixsite.com,ce.lijit.com,10,0.08,-0.42
eyeydhe.wixsite.com,edge.digicert.com,10,0.06666666666666667,-0.43333333333333335
promo1.spik.ru,prod.bidr.io,9,0.047619047619047616,-0.4023809523809524
promo1.spik.ru,pool.ntp.org,9,0.0,-0.45
promo1.spik.ru,pendo.io,10,0.0,-0.5
promo1.spik.ru,pushnp.svc.ms,10,0.0,-0.5
promo1.spik.ru,loopme.me,10,0.0,-0.5
tiktok-shops.me,tiktok.com,7,0.23529411764705882,-0.11470588235294116
tiktok-shops.me,tiktokv.com,7,0.2222222222222222,-0.12777777777777777
tiktok-shops.me,tiktokv.us,8,0.23529411764705882,-0.1647058823529412
tiktok-shops.me,tiktokcdn.com,8,0.2,-0.2
tiktok-shops.me,tiktokcdn-us.com,8,0.17391304347826086,-0.22608695652173916
tvsps.ru.com,temu.com,6,0.23076923076923078,-0.0692307692307692
